"","Label","Name","Country","Region","LonDD","LatDD","CalYrBP","Pollen_sum","Pollen_sum.2","Abies"
"1","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/-40/--",514,941.75,0
"2","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/-13/--",507,1027.5,0
"3","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/31/--",518,1084,0
"4","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/75/--",529,1014.5,0
"5","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/119/--",422,837.25,0
"6","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/163/--",556,1037,0
"7","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/380/--",557,1037.5,0
"8","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/769/--",548,1048,0
"9","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/1158/--",536,956.5,0
"10","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/1400/--",525,971.25,0
"11","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/1494/--",484,878,0
"12","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/1638/--",507,875.25,0
"13","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/1833/--",544,990.5,0
"14","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2028/--",511,944,0
"15","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2223/--",485,954.25,0
"16","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2419/--",487,951.5,0
"17","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2547/--",530,1050.25,0
"18","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2609/--",588,1136.25,0
"19","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2671/--",514,995,0
"20","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2732/--",503,983.5,0
"21","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2794/--",512,961,0
"22","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/2943/--",510,961.5,0
"23","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/3178/--",505,953.25,0
"24","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/3413/--",502,992.75,0
"25","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/3649/--",503,974.5,0
"26","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/3884/--",524,971.5,0
"27","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4027/--",500,925,0
"28","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4076/--",481,892.25,0
"29","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4126/--",548,1012.75,0
"30","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4176/--",329,592,0
"31","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4226/--",526,976.25,0
"32","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4444/--",518,1015.75,0
"33","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/4832/--",457,821,0
"34","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/5220/--",455,859,0
"35","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/5607/--",526,965.75,0
"36","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/5920/--",468,876.75,0
"37","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/6158/--",554,928.75,0
"38","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/6396/--",516,832.5,0
"39","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/6634/--",513,857.25,0
"40","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/6872/--",540,825,0
"41","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/7110/--",529,871.25,0
"42","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/7324/--",561,955.5,0
"43","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/7562/--",526,861.5,0
"44","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/7801/--",524,809.5,0
"45","BERE","Berezovskoye","Russia","Tc",38.5838,53.66192,"--/8039/--",516,834.75,0
